|*field*|*frequency*|
|116e1.p|1|
|204e1.h|1|
|204e1.k|1|
|621-1.a|1|
|208b1.k|1|
|406b2.j|1|
|038b1.a|1|
|http://id.loc.gov/vocabulary/relators/cmp|1|
|132b1.p|1|
|200b1.a|1|
|200b1.b|1|
|537-2.a|1|
|578-1.a|1|
|200b1.h|1|
|533z1.a|1|
|124b1.d|1|
|http://purl.org/ontology/bibo/shortTitle|1|
|673b1.9|1|
|501-2.a|1|
|673b1.a|1|
|527-1.a|1|
|903-2.a|1|
|907-1.z|1|
|652-1.a|1|
|112e1.p|1|
|568-1.a|1|
|907-1.f|1|
|907-1.g|1|
|527-1.p|1|
|http://id.loc.gov/vocabulary/relators/drt|1|
|452a1.a|1|
|200e1.k|1|
|200e1.h|1|
|http://purl.org/dc/terms/isFormatOf|1|
|800-1.c|1|
|104b1.c|1|
|105-2.d|1|
|http://purl.org/ontology/bibo/doi|1|
|516a2.a|1|
|674-1.a|1|
|101-1.U|1|
|104b2.d|1|
|533z2.9|1|
|104f1.d|1|
|204e1.9|1|
|100b2.d|1|
|104f1.p|1|
|532z1.a|1|
|200-1.h|1|
|http://www.w3.org/2000/01/rdf-schema#seeAlso|1|
|200-1.k|1|
|533z2.p|1|
|533z1.p|1|
|533z2.a|1|
|076-1.a|1|
|136b1.p|1|
|651-1.b|1|
|http://id.loc.gov/vocabulary/relators/hnr|1|
|651-1.a|1|
|208b1.b|1|
|532z1.9|1|
|108a1.d|1|
|108a1.c|1|
|512-1.a|1|
|086-1.d|1|
|516-1.p|1|
|523-2.a|1|
|673a1.9|1|
|512-1.p|1|
|504-2.p|1|
|532z1.p|1|
|120e1.b|1|
|531z1.p|1|
|026h1.a|1|
|120e1.d|1|
|http://purl.org/dc/elements/1.1/isPartOf|1|
|120e1.p|1|
|http://purl.org/dc/terms/source|1|
|104b2.p|1|
|http://purl.org/lobid/lv#urn|1|
|503a1.a|1|
|545a1.a|1|
|545a1.d|1|
|597-1.a|1|
|461-1.a|1|
|101-2.d|1|
|700-1.2|1|
|104a1.p|1|
|145-1.p|1|
|670-1.a|1|
|http://purl.org/dc/terms/hasFormat|1|
|406a2.j|1|
|145-1.c|1|
|546-1.a|1|
|200e1.9|1|
|201-2.h|1|
|406a2.k|1|
