INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - Field	Freq.
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 100-1.d	10
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 201-2.b	10
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 952-1.b	9
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 113-1.p	9
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 113-1.d	9
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 004-1.a	8
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 370c2.a	8
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - LAL-1.b	8
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 100b1.p	8
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/ontology/bibo/edition	7
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 529z1.p	7
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 529z1.a	7
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 507-2.a	7
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 104b1.p	7
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 952-2.g	7
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 655e1.A	6
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 700z1.a	6
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - LAL-1.a	6
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 425-1.a	6
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 078e1.a	6
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 952-1.x	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 002a2.a	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 425b2.a	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/terms/hasVersion	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 655e .y	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 200b1.k	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 205-1.k	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 501-1.a	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 070b2.a	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 952-2.s	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/terms/medium	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/lobid/lv#fulltextOnline	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 104b1.d	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/terms/alternative	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 456-1.a	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 003-2.a	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 455-1.a	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 331-2.a	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 001-2.a	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 026-2.a	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 036a2.a	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 070-2.a	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 902-1.g	5
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 304b1.a	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 108b1.p	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 112b1.p	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - HID-1.s	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 112b1.d	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - HID-1.h	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - HID-1.l	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - HID-1.c	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 537-1.a	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 209-1.k	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 652a1.a	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 020a1.a	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 020a1.b	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 025a1.a	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 700-2.2	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 700g2.a	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 516-1.a	4
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 574-1.a	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 655e1.q	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 108b1.d	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 117-1.p	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 370a2.a	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 117-1.d	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 903-1.a	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 902-2.f	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 542a2.a	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 700n2.a	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 076c1.a	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/terms/tableOfContents	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://id.loc.gov/vocabulary/relators/sng	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 551a1.a	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 100b1.d	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 078n2.a	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 080-2.a	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 405-1.a	3
