INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - Field	Freq.
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/lobid/lv#urn	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 503a1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 545a1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 545a1.d	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 597-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 461-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 101-2.d	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 700-1.2	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 104a1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 145-1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 670-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/terms/hasFormat	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 406a2.j	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 145-1.c	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 546-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 200e1.9	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 201-2.h	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 406a2.k	1
